Dataset Title,API Field Name,Description,Data Type
Highways in Colorado,prirdl,"Assessment of the pavement condition and acceptable driving condition based on an assessment of smoothness, pavement distress, and safety, in the primary direction of travel. Is a number.",Number
Highways in Colorado,pridlclass,"Classification of the pavement condition and acceptable driving condition based on an assessment of smoothness, pavement distress, and safety, in the primary direction of travel. Classifications are High, Moderate, and Low.",Text
Highways in Colorado,priirii,International roughness index (IRI) correlates somewhat with human exposure to whole-body vibration in vehicles and thus to perceived ride quality reading for the surface condition in the Primary Direction of Travel. http://dtdapps.coloradodot.info/otis/catalog/CiCoOff/priIRI,Number
Highways in Colorado,priruti,A value between 0 and 100 that is used to calculate Remaining Service Life for rutting. A value of 100 indicates .15 inch or less rutting. A value of 50 is the threshold that indicates no more remaining service life. This occurs at an average rut depth of .55 inches.,Number
Highways in Colorado,aadt,"The annual average daily traffic count for the segment. (Total of all vehicles counted in a year divided by 365 days). From 0 to 105,000. http://dtdapps.coloradodot.info/otis/catalog/TraffOn/AADT",Number
Highways in Colorado,aadt20,A traffic forecasting statistic that gives an estimate of AADT for 20 years in the future.,Number
Highways in Colorado,aadtyr,The annual average daily traffic count for the segment. (Total of all vehicles counted in a year divided by 365 days).http://dtdapps.coloradodot.info/otis/catalog/TraffOn/AADTYr,Text
Highways in Colorado,aadtderiv,A Domained Value Element (AADTDeriv) indicating the Code Associated with the Factoring Method used in calculating the AADT determination Value. http://dtdapps.coloradodot.info/otis/catalog/TraffOn/AADTDeriv,Text
Highways in Colorado,pktrk,The Peak percent of AADT that is composed of trucks of all types. Calculated by taking the number of trucks divided by the AADT,Number
Highways in Colorado,offpktrk,The Off-Peak percent of AADT that is composed of trucks of all types.,Number
Highways in Colorado,aadtsingle,The AADT consisting of single unit trucks (vehicles larger than pickup trucks built on a single chassis).,Number
Highways in Colorado,aadtcomb,The AADT consisting of combination trucks (3 or more axles-single trailer or multiple trailers). http://dtdapps.coloradodot.info/otis/catalog/TraffOn/AADTComb,Number
Highways in Colorado,vcratio,"The hourly traffic volume divided by the capacity of the segment. Thus, the volume/capacity ratio measure can be assumed to measure capacity sufficiency and delay is a measure of the quality of service. http://dtdapps.coloradodot.info/otis/catalog/TraffOn/VCRatio",Number
Highways in Colorado,vcratio20,The 20 year projection for the VCRATIO value.,Number
Highways in Colorado,vmt,Traffic volume of the roadway segment multiplied by the length of the roadway segment.,Number
Highways in Colorado,speedlim,The speed limit posted or legally mandated for the greater part of the segment of road.,Number
Highways in Colorado,prisurf,A Domained Value Code (SurfaceType) an indicator of the type of material used in the construction of the roadway driving surface as defined by FWHA. http://dtdapps.coloradodot.info/otis/catalog/CiCoOff/priSurf,Text
Highways in Colorado,thrulnwd,The Average Width of a Single Lane to the nearest foot. http://dtdapps.coloradodot.info/otis/catalog#statewide-tab,Number
Highways in Colorado,thrulnqty,"The prevailing number of lanes carrying through traffic in the in both directions of Traffic, excluding, parking, turning, auxiliary, climbing, acceleration or deceleration lanes. http://dtdapps.coloradodot.info/otis/catalog#statewide-tab",Number
Highways in Colorado,isdivided,"Value representing if the highway is divided, (Yes or No)",Text
Highways in Colorado,prioutshd,Type of primary outside shoulder,Text
Highways in Colorado,prioutshdw,"The width, in feet, of the primary inside shoulder width. The orientation is based on the assumption of facing the roadway from the beginning point of the road usually in a west to east or south to north orientation.",Number
Highways in Colorado,median,A Domained Value (median) describing the classification of the type of median on the segment of road separating the travel ways for traffic in opposite directions. http://dtdapps.coloradodot.info/otis/catalog/XsecOn/Median,Text
Highways in Colorado,medianwd,The predominant median width for the Sample section. Required by HPMS for all Sample Panel sections.,Number
Highways in Colorado,terrain,A Domained Value Element (terrain 0-3) used to identify the Predominant type of terrain through which the road segment passes as specified by AASHTO. http://dtdapps.coloradodot.info/otis/catalog/ClassOn/terrain,Text
Highways in Colorado,alias,A common locally used Roadway Name or Otherwise Known as Historical Sir name given to a Segment of Highway.,Text
Highways in Colorado,descriptio,"Description of the beginning of the highway segment, which may be defined by mileposts, road crossings, structures, boundaries, waterways/drainages, etc.",Text
Highways in Colorado,shape_stle,The shape length of the segment in Meters. UTM meters is our typical projection/units.,Number
Highways in Colorado,shape_st_1,"Note: Auto-generated field, units unknown, user should produce area and length measurements as opposed to relying on this field as a source",Number
Vacancies by Age of Building for Colorado 2016,region,The overall region where vacancies were recorded. Typically Colorado,Plain Text
Vacancies by Age of Building for Colorado 2016,subregion,A more granular metric of region. Typically recorded as a county,Plain Text
Vacancies by Age of Building for Colorado 2016,buildingage,Age of vacant building,Plain Text
Vacancies by Age of Building for Colorado 2016,quarter,Quarter the vacancy was recorded,Number
Vacancies by Age of Building for Colorado 2016,year,Year the vacancy was recorded,Number
Vacancies by Age of Building for Colorado 2016,averagevacancy,Average number of vacancies by year and quarter per subregion,Number
Tax Exempt Subsections from IRS in Colorado,taxexemptcode,Tax exempt code under section 501(c),Plain Text
Tax Exempt Subsections from IRS in Colorado,description,Description of activities of charity,Plain Text
Tax Exempt Subsections from IRS in Colorado,returnstype,Type of 990 return filed.,Plain Text
Professional and Occupational License Types in Colorado,licensecategory,Occupational category of license,Plain Text
Professional and Occupational License Types in Colorado,licensetype,Occupational type of license,Plain Text
Professional and Occupational License Types in Colorado,licenseprefix,Abbreviation of license type,Plain Text
Professional and Occupational License Types in Colorado,businessorindividual,Deliniates whether the license is associated with a business or an individual,Plain Text
Professional and Occupational License Types in Colorado,renewalcycle,How often the license needs to be renewed,Plain Text
Professional and Occupational License Types in Colorado,year,"Renewal takes place on odd, even, or odd and even years",Plain Text
Professional and Occupational License Types in Colorado,renewalexpirationdate,Date of license expiration,Plain Text
Directory of Lobbyist Clients in Colorado,lobbyistlastname,Last name of lobbyist,Plain Text
Directory of Lobbyist Clients in Colorado,lobbyistfirstname,First name of lobbyist,Plain Text
Directory of Lobbyist Clients in Colorado,lobbyistaddress1,First line of lobbyist address,Plain Text
Directory of Lobbyist Clients in Colorado,lobbyistaddress2,Second line of lobbyist address,Plain Text
Directory of Lobbyist Clients in Colorado,lobbyistcity,City of lobbyist address,Plain Text
Directory of Lobbyist Clients in Colorado,lobbyiststate,State of lobbyist address,Plain Text
Directory of Lobbyist Clients in Colorado,lobbyistzip,Zipcode of lobbyist address,Plain Text
Directory of Lobbyist Clients in Colorado,primarylobbyistid,Unique ID for lobbyist,Number
Directory of Lobbyist Clients in Colorado,annuallobbyistregistrationid,Unique ID for lobbyist registration. Renewed annually,Number
Directory of Lobbyist Clients in Colorado,clientname,Name of associate client entity,Plain Text
Directory of Lobbyist Clients in Colorado,clientaddress1,First line of associated client address,Plain Text
Directory of Lobbyist Clients in Colorado,clientaddress2,Second line of associated client address,Plain Text
Directory of Lobbyist Clients in Colorado,clientcity,City of associated client address,Plain Text
Directory of Lobbyist Clients in Colorado,clientstate,State of associated client address,Plain Text
Directory of Lobbyist Clients in Colorado,clientzip,Zipcode of associated client address,Plain Text
Charity Filed Financial Information in Colorado,entityid,Entity Id,Number
Charity Filed Financial Information in Colorado,registranttypeabbr,Registrant Type,Plain Text
Charity Filed Financial Information in Colorado,name,"Charitable Organization, Paid Solicitor or Professional Fundraising Consultant name",Plain Text
Charity Filed Financial Information in Colorado,fein,Federal Employer Identification Number,Plain Text
Charity Filed Financial Information in Colorado,filingtype,"Filing type: Master, Amendment, Renewal, Extension, Fiscal Year Change, Estimate Extension",Plain Text
Charity Filed Financial Information in Colorado,documentid,Accounting ID (Registration Number),Number
Charity Filed Financial Information in Colorado,amendmententityid,"If filing type is Amendment, then Entity ID of master or renewal record",Number
Charity Filed Financial Information in Colorado,externalfilingfromnccs,"If record is an external filing from NCCS or the IRS, then ‘Y’ else ‘N’",Checkbox
Charity Filed Financial Information in Colorado,externalfilingtype,External filing type: either IRS or NCCS,Plain Text
Charity Filed Financial Information in Colorado,actualfinancialsprovided,If actual financials are provided then ‘Y’ else ‘N’,Checkbox
Charity Filed Financial Information in Colorado,principaladdress,Principal address,Plain Text
Charity Filed Financial Information in Colorado,principalcity,Principal city,Plain Text
Charity Filed Financial Information in Colorado,principalstate,Principal state,Plain Text
Charity Filed Financial Information in Colorado,principalzipcode,Principal zip code,Plain Text
Charity Filed Financial Information in Colorado,principalzipcode4,"If nine digit zip code is given, the full code will be listed here",Plain Text
Charity Filed Financial Information in Colorado,residentialcounty,Residential county,Plain Text
Charity Filed Financial Information in Colorado,mailingaddress,Mailing address,Plain Text
Charity Filed Financial Information in Colorado,mailingcity,Mailing city,Plain Text
Charity Filed Financial Information in Colorado,mailingstate,Mailing state,Plain Text
Charity Filed Financial Information in Colorado,mailingzipcode,Mailing zip code,Plain Text
Charity Filed Financial Information in Colorado,mailingzipcode4,"If nine digit zip code is given, the full code will be listed here",Plain Text
Charity Filed Financial Information in Colorado,phone,Phone (area code + 7 digit number + extension),Number
Charity Filed Financial Information in Colorado,fax,Fax number,Number
Charity Filed Financial Information in Colorado,website,Website URL,Plain Text
Charity Filed Financial Information in Colorado,authorizedofficername,Official first and last name,Plain Text
Charity Filed Financial Information in Colorado,authorizedofficersigneddate,Date authorized officer approved expense,Date & Time
Charity Filed Financial Information in Colorado,cfoname,"For Charitable Organizations, CFO first and last name",Plain Text
Charity Filed Financial Information in Colorado,cfosigneddate,"For Charitable Organizations, date CFO signed registration",Date & Time
Charity Filed Financial Information in Colorado,registrationapproveddate,Date and time at which registration was approved,Date & Time
Charity Filed Financial Information in Colorado,paymentprocesseddate,Date and time payment was processed,Date & Time
Charity Filed Financial Information in Colorado,nextrenewalregistrationdate,Due date for entity’s next renewal of registration,Date & Time
Charity Filed Financial Information in Colorado,fiscalyearstartdate,Beginning of fiscal year,Date & Time
Charity Filed Financial Information in Colorado,fiscalyearenddate,End of fiscal year,Date & Time
Charity Filed Financial Information in Colorado,incorporated,Incorporated flag,Checkbox
Charity Filed Financial Information in Colorado,incorporationdate,"If organization is incorporated, date of incorporation",Date & Time
Charity Filed Financial Information in Colorado,incorporationstate,"If organization is incorporated, state where incorporation",Plain Text
Charity Filed Financial Information in Colorado,organizationestablisheddate,"If not incorporated, date organization was established",Date & Time
Charity Filed Financial Information in Colorado,organizationestablishedstate,"If not incorporated, state in which organization was established",Plain Text
Charity Filed Financial Information in Colorado,nteecode1,National Taxonomy of Exempt Entities Code Description,Plain Text
Charity Filed Financial Information in Colorado,nteecode2,National Taxonomy of Exempt Entities Code Description,Plain Text
Charity Filed Financial Information in Colorado,nteecode3,National Taxonomy of Exempt Entities Code Description,Plain Text
Charity Filed Financial Information in Colorado,legalentitytype,"Type of organization; i.e. non-profit, limited liability, corporation, local government, etc.",Plain Text
Charity Filed Financial Information in Colorado,taxexemptstatus,"If tax exempt organization, then ‘Y’ else ‘N’",Checkbox
Charity Filed Financial Information in Colorado,taxexemptcode,Tax exempt code - IRS subsection,Plain Text
Charity Filed Financial Information in Colorado,irsexemptiondate,Date of application for exemption or date of letter of determination of exemption,Date & Time
Charity Filed Financial Information in Colorado,taxdeductible,"If donations to organization are tax deductible, then ‘Y’",Checkbox
Charity Filed Financial Information in Colorado,extensionfiled,"If extension was filed, then ‘Y’",Checkbox
Charity Filed Financial Information in Colorado,consolidatedregistrationstatement,Is organization’s registration a consolidated Registration statement (‘Y’ or ’N’),Checkbox
Charity Filed Financial Information in Colorado,fiscalyearbeginning,Beginning tax year this report covers,Date & Time
Charity Filed Financial Information in Colorado,fiscalyearending,Ending tax year this report covers,Date & Time
Charity Filed Financial Information in Colorado,newcharity,"If organization is providing estimates because charity is new, then ‘Y’",Checkbox
Charity Filed Financial Information in Colorado,outsideprofessionalfundraiserfees,Outside professional fundraisers fees,Number
Charity Filed Financial Information in Colorado,totalcontributionsraisedpreviousyear,Total contributions raised in previous year,Number
Charity Filed Financial Information in Colorado,totalfundraisingexpensespreviousyear,Total fundraising expenses in previous year,Number
Charity Filed Financial Information in Colorado,totalmanagementgeneralexpensespreviousyear,Total management and general expenses in previous year,Number
Charity Filed Financial Information in Colorado,expensesdividedbycontributions,Total fundraising expenses divided by total contributions,Number
Charity Filed Financial Information in Colorado,totalexpensesplusmanagementgeneraldividedbycontributions,(Total fundraising expenses + total management and general expenses) divided by total contributions,Number
Charity Filed Financial Information in Colorado,relatedorganizations,Name of related organization,Plain Text
Charity Filed Financial Information in Colorado,relatedtootherorganization,"If organization is related to any other organization, then ‘Y’",Checkbox
Charity Filed Financial Information in Colorado,relatedorganizationtaxexempt,"If related organization is tax exempt, then ‘Y’",Checkbox
Charity Filed Financial Information in Colorado,solicitednontaxdeductiblegifts,"If organization solicited any non-tax deductible gifts or contributions, then ‘Y’",Checkbox
Charity Filed Financial Information in Colorado,statedgiftnottaxdeductible,"If organization state clearly gifts or contributions were not tax deductible, then ‘Y’",Checkbox
Charity Filed Financial Information in Colorado,revenuefromcontibutions,Revenue from contributions,Number
Charity Filed Financial Information in Colorado,revenuefromgovernment,Revenue from government,Number
Charity Filed Financial Information in Colorado,programservicerevenue,Program service revenue,Number
Charity Filed Financial Information in Colorado,revenuefrominvestments,Revenue from investments,Number
Charity Filed Financial Information in Colorado,revenuefromspecialevents,Revenue from special events and activities,Number
Charity Filed Financial Information in Colorado,revenuefromsales,Revenue from sales,Number
Charity Filed Financial Information in Colorado,revenueother,Other revenue,Number
Charity Filed Financial Information in Colorado,revenuetotal,Total of all revenues,Number
Charity Filed Financial Information in Colorado,expensesfromprogramservices,Expenses from program services,Number
Charity Filed Financial Information in Colorado,expensesfromadministrativeother,Administrative and other general expenses,Number
Charity Filed Financial Information in Colorado,expensesfundraising,Fundraising expenses,Number
Charity Filed Financial Information in Colorado,expensesaffiliates,Payment to affiliates expenses,Number
Charity Filed Financial Information in Colorado,expensesother,Other expenses,Number
Charity Filed Financial Information in Colorado,expensesothercomment,Other expenses comment,Plain Text
Charity Filed Financial Information in Colorado,expensestotal,Total of all expenses,Number
Charity Filed Financial Information in Colorado,endofyearassests,Total end of year assets,Number
Charity Filed Financial Information in Colorado,endofyeartotalliabilities,Total end of year liabilities,Number
Charity Filed Financial Information in Colorado,endofyearassestsminusliabilities,End of year assets minus end of year liabilities,Number
Charity Filed Financial Information in Colorado,unrestrictedassests,Unrestricted assets,Number
Charity Filed Financial Information in Colorado,temporarilyrestrictedassets,Temporarily restricted assets,Number
Charity Filed Financial Information in Colorado,permanentlyrestrictedassets,Permanently restricted assets,Number
Charity Filed Financial Information in Colorado,publicbenefitcorporation,If organization is a pbc or not,Checkbox
Charity Filed Financial Information in Colorado,pbcrecordingmethod,"For PBC organizations, recording method 'accrual', 'cas', or customer input.",Plain Text
Charity Filed Financial Information in Colorado,pbcpromotedbenefit,"For PBC organizations, promoted benefit information",Plain Text
Charity Filed Financial Information in Colorado,pbcissuesstockshares,"For PBC organizations, whether the organization issues stock shares (boolean or null if non-pbc)",Checkbox
Charity Filed Financial Information in Colorado,pbcstocksharesavailable,"For PBC organizations, number of stock shares available",Plain Text
Charity Filed Financial Information in Colorado,pbcbenefitreportsent,"For PBC organizations, whether benefit report was sent to stockholders (y, n, n/a, null if non-pbc)",Plain Text
Charity Filed Financial Information in Colorado,pbcannualbenefitreport,"For PBC organizations, instructions on obtaining the annual benefit report",Plain Text
Charity Filed Financial Information in Colorado,conflictofinterest,"Paid Solicitor Conflict of Interest (boolean, null if not a paid solicitor)",Checkbox
Charity Filed Financial Information in Colorado,conflictofinterestaffirmation,Paid Solicitor Conflict of Interest affirmation (boolean or null if not a paid solicitor),Checkbox
Charity Filed Financial Information in Colorado,legalbusinessformation,Legal Business Formation,Plain Text
Highway Traffic Counts in Colorado 2015,endrefpt,A Linear Reference Number or Address Key (to the Thousandth of a Mile) Representing the Ending Point of a roadway Segment. A Unique Landmark Location (not the running measure) or (maybe a one-time true end measure) of a segment along a State Route.,Number
Highway Traffic Counts in Colorado 2015,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Line
Highway Traffic Counts in Colorado 2015,refpt,A Linear Reference Number or Address Key (to the Thousandth of a Mile) Representing the Starting Point of a roadway segment. A Unique Landmark Location (not the running measure) or (maybe a one-time true measure) of a roadway segment along a State Route.,Number
Highway Traffic Counts in Colorado 2015,route,"A Unique (3 Number - 1 Letter) Highway Identification Code or Designating for a State Highway, Business Route, U.S. Route or Tolled Facility. Odd numbers typically run North and South and Even numbers typically Run East and West.",Text
Highway Traffic Counts in Colorado 2015,length,The Centerline Segment Length or Segment Distance (in Miles) to the Thousandth of a Mile. Length_ is the distance from one Road Segment to the next Road Segment. Length_ is a dimension or measurement that is carried out 3-decimal places.,Number
Highway Traffic Counts in Colorado 2015,updateyr,The last calendar year in which the data was updated.,Text
Highway Traffic Counts in Colorado 2015,aadt,The annual average daily traffic count for the segment. (Total of all vehicles counted in a year divided by 365 days),Number
Highway Traffic Counts in Colorado 2015,aadtyr,The calendar year (YYYY) in which the annual average daily traffic count applies for the highway segment.,Text
Highway Traffic Counts in Colorado 2015,countyear,The year the data was recorded,Text
Highway Traffic Counts in Colorado 2015,aadtderiv,A Domained Value Element (AADTDeriv) indicating the Code Associated with the Factoring Method used in calculating the AADT determination Value.,Text
Highway Traffic Counts in Colorado 2015,aadtsingle,The AADT consisting of single unit trucks (vehicles larger than pickup trucks built on a single chassis).,Number
Highway Traffic Counts in Colorado 2015,aadtcomb,The AADT consisting of combination trucks (3 or more axles-single trailer or multiple trailers).,Number
Highway Traffic Counts in Colorado 2015,pktrk,The Peak percent of AADT that is composed of trucks of all types. Calculated by taking the number of trucks divided by the AADT,Number
Highway Traffic Counts in Colorado 2015,offpktrk,The Off-Peak percent of AADT that is composed of trucks of all types.,Number
Highway Traffic Counts in Colorado 2015,yr20factor,A traffic forecasting statistic that gives an estimate of AADT for 20 years in the future.,Number
Highway Traffic Counts in Colorado 2015,dhv,The 30th highest annual hourly traffic volume expressed as a percentage of AADT,Number
Highway Traffic Counts in Colorado 2015,dd,Directional Distribution -The percentage of the design hour value flowing in the peak direction.,Number
Highway Traffic Counts in Colorado 2015,routecapac,The maximum number of vehicles which has a reasonable expectation of passing over a given section of lane or roadway during a given time period under prevailing roadway and traffic conditions per the Highway Capacity Manual.,Number
Highway Traffic Counts in Colorado 2015,edla,Equivalent Daily Load Axle,Number
Highway Traffic Counts in Colorado 2015,vcratio,"The hourly traffic volume divided by the capacity of the segment. Thus, the volume/capacity ratio measure can be assumed to measure capacity sufficiency and delay is a measure of the quality of service.",Number
Highway Traffic Counts in Colorado 2015,vcratio20,The 20 year projection for the VCRATIO value.,Number
Highway Traffic Counts in Colorado 2015,roadterrai,A Domained Value Element (terrain 0-3) used to identify the Predominant type of terrain through which the road segment passes as specified by AASHTO.,Text
Highway Traffic Counts in Colorado 2015,seasonalgr,"A Domained Numeric Designation (seasonalGroupID, 1-7) indicating the Coded Value associated with a list of Seasonal Variations used for short term data calculations.",Text
Highway Traffic Counts in Colorado 2015,countstati,A 6-Digit Numeric Designation or Identification Number that Represents the Location where Independent Traffic Volume Groups and Data Collection Efforts are being performed on a Road Segment.,Text
Highway Traffic Counts in Colorado 2015,calyr,The last calendar year in which the data was updated.,Text
Highway Traffic Counts in Colorado 2015,pctpksu,Percentage of AADT for single unit trucks during the Peak Hour.,Number
Highway Traffic Counts in Colorado 2015,pctpkcomb,Percentage of AADT for Combination Trucks During the Peak Hour.,Number
Highway Traffic Counts in Colorado 2015,pctoffpksu,Percentage of AADT for Single Unit Trucks During Off-Peak Periods,Number
Highway Traffic Counts in Colorado 2015,pctoffpkco,Percentage of AADT for Combination Trucks During Off-Peak Periods,Number
Highway Traffic Counts in Colorado 2015,aadttrucks,Annual Average Daily Traffic for Trucks,Number
Highway Traffic Counts in Colorado 2015,objectid_1,Can be disregarded,Number
Highway Traffic Counts in Colorado 2015,shape_leng,{no longer supported},Number
Charitable Organizations’ Offices in Colorado,entityid,Entity Id,Number
Charitable Organizations’ Offices in Colorado,fein,Federal Employer Identification Number,Number
Charitable Organizations’ Offices in Colorado,entitytype,Type of entity. CO = Charitable Organization. PS = Paid Solicitor. PFC = Professional Fundraising Consultant,
Charitable Organizations’ Offices in Colorado,documentid,Unique ID associated with document,
Charitable Organizations’ Offices in Colorado,name,"Charitable Organization, Paid Solicitor or Professional Fundraising Consultant name",Plain Text
Charitable Organizations’ Offices in Colorado,isparentorganization,"Identifies record as a branch, affiliate, or chapter of parent organization.",Checkbox
Charitable Organizations’ Offices in Colorado,organizationname,If consultant is not an individual but an organization,Plain Text
Charitable Organizations’ Offices in Colorado,firstname,If consultant is individual (first name),Plain Text
Charitable Organizations’ Offices in Colorado,middlename,If consultant is individual (middle name),Plain Text
Charitable Organizations’ Offices in Colorado,lastname,If consultant is individual (last name),Plain Text
Charitable Organizations’ Offices in Colorado,principaladdress,Principal street address,Plain Text
Charitable Organizations’ Offices in Colorado,principalcity,Principal City,Plain Text
Charitable Organizations’ Offices in Colorado,principalcounty,Principal County,Plain Text
Charitable Organizations’ Offices in Colorado,principalstate,Principal State,Plain Text
Charitable Organizations’ Offices in Colorado,principalzipcode,Principal zip code,Plain Text
Charitable Organizations’ Offices in Colorado,principalzipcode4,"If a nine digit zip was given, the full code will be displayed here",Plain Text
Charitable Organizations’ Offices in Colorado,mailingaddress,Mailing Address,Plain Text
Charitable Organizations’ Offices in Colorado,mailingcity,Mailing City,Plain Text
Charitable Organizations’ Offices in Colorado,mailingstate,Mailing State,Plain Text
Charitable Organizations’ Offices in Colorado,mailingzipcode,Mailing zip code,Plain Text
Charitable Organizations’ Offices in Colorado,mailingzipcode4,"If a nine digit zip was given, the full code will be displayed here",Plain Text
Charitable Organizations’ Offices in Colorado,phone,Phone number,Number
Charitable Organizations’ Offices in Colorado,fax,Fax number,Number
Charitable Organizations’ Offices in Colorado,website,website url,Website Url
Marijuana Sales Tax (2.9%) Revenues in Colorado,Type,,
Marijuana Sales Tax (2.9%) Revenues in Colorado,month,Month of record in numeric value,
Marijuana Sales Tax (2.9%) Revenues in Colorado,year,Year of record,
Marijuana Sales Tax (2.9%) Revenues in Colorado,county,County of record,
Marijuana Sales Tax (2.9%) Revenues in Colorado,med_tax_rev,Revenue from statewide 2.9% sales tax on medical marijuana,
Marijuana Sales Tax (2.9%) Revenues in Colorado,rec_tax_rev,Revenue from statewide 2.9% sales tax on recreational marijuana,
Marijuana Sales Tax (2.9%) Revenues in Colorado,med_remainderofstate_counties,"List of counties that makeup counties listed as ""Remainder of State"" for medical marijuana",
Marijuana Sales Tax (2.9%) Revenues in Colorado,rec_remainderofstate_counties,"List of counties that makeup counties listed as ""Remainder of State"" for recreational marijuana",
Marijuana Sales Tax (2.9%) Revenues in Colorado,med_blank_code,"Contains ""NR"" for counties with medical tax revenues designated as ""Not Reported"" due to customer personal information",
Marijuana Sales Tax (2.9%) Revenues in Colorado,rec_blank_code,"Contains ""NR"" for counties with recreational tax revenues designated as ""Not Reported"" due to customer personal information",
Library Districts in Colorado,source,Original source where boundary data was collected,Text
Library Districts in Colorado,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Multipolygon
Library Districts in Colorado,lgname,Name of library district,Text
Library Districts in Colorado,lgid,DOLA generated uninque identifier for a special district,Text
Library Districts in Colorado,lgtypeid,DOLA generated type code. 16 = Library District,Text
