Dataset Title,API Field Name,Description
Highways in Colorado,fipscity,Federal Identification Processing Code from Census for Cities
Highways in Colorado,county,"The County name the road resides, (eg Jefferson Co)"
Highways in Colorado,fipscounty,A 3 digit code representing a county
Highways in Colorado,population,"A designation of the size of the population, established by the U.S. Bureau of Census. One of four values: (Rural, Small Urban, Urbanized, Large Urbanized)"
Highways in Colorado,funcclass,"Indicates the functional category and usage limitations of the segment of road, as defined by FHWA, and is broken down between rural and urban areas. http://dtdapps.coloradodot.info/otis/catalog/CiCoOff/funcClassID"
Highways in Colorado,routesign,"Indicates a type of Interstate, State or U.S. Highway or Business Route relative to the manner in which it is signed. http://dtdapps.coloradodot.info/otis/catalog/CiCoOff/routeSign"
Highways in Colorado,nhsdesig,A Domained Value Element (NHSDesig: 0-9) used to identify whether the Road Segment is designated as being part of the National Highway System. Also contains the text value (added at the end). http://dtdapps.coloradodot.info/otis/catalog/CiCoOff/NHSDesig
Highways in Colorado,access_,"A Domained Value Code (access) used to identify the type of Access Control assigned to a Road Segment as defined by FHWA. Contains the text, not the code. http://dtdapps.coloradodot.info/otis/catalog/CiCoOff/ACCESS_"
Highways in Colorado,prirdl,"Assessment of the pavement condition and acceptable driving condition based on an assessment of smoothness, pavement distress, and safety, in the primary direction of travel. Is a number."
Highways in Colorado,pridlclass,"Classification of the pavement condition and acceptable driving condition based on an assessment of smoothness, pavement distress, and safety, in the primary direction of travel. Classifications are High, Moderate, and Low."
Highways in Colorado,priirii,International roughness index (IRI) correlates somewhat with human exposure to whole-body vibration in vehicles and thus to perceived ride quality reading for the surface condition in the Primary Direction of Travel. http://dtdapps.coloradodot.info/otis/catalog/CiCoOff/priIRI
Highways in Colorado,priruti,A value between 0 and 100 that is used to calculate Remaining Service Life for rutting. A value of 100 indicates .15 inch or less rutting. A value of 50 is the threshold that indicates no more remaining service life. This occurs at an average rut depth of .55 inches.
Highways in Colorado,aadt,"The annual average daily traffic count for the segment. (Total of all vehicles counted in a year divided by 365 days). From 0 to 105,000. http://dtdapps.coloradodot.info/otis/catalog/TraffOn/AADT"
Highways in Colorado,aadt20,A traffic forecasting statistic that gives an estimate of AADT for 20 years in the future.
Highways in Colorado,aadtyr,The annual average daily traffic count for the segment. (Total of all vehicles counted in a year divided by 365 days).http://dtdapps.coloradodot.info/otis/catalog/TraffOn/AADTYr
Highways in Colorado,aadtderiv,A Domained Value Element (AADTDeriv) indicating the Code Associated with the Factoring Method used in calculating the AADT determination Value. http://dtdapps.coloradodot.info/otis/catalog/TraffOn/AADTDeriv
Highways in Colorado,pktrk,The Peak percent of AADT that is composed of trucks of all types. Calculated by taking the number of trucks divided by the AADT
Highways in Colorado,offpktrk,The Off-Peak percent of AADT that is composed of trucks of all types.
Highways in Colorado,aadtsingle,The AADT consisting of single unit trucks (vehicles larger than pickup trucks built on a single chassis).
Highways in Colorado,aadtcomb,The AADT consisting of combination trucks (3 or more axles-single trailer or multiple trailers). http://dtdapps.coloradodot.info/otis/catalog/TraffOn/AADTComb
Highways in Colorado,vcratio,"The hourly traffic volume divided by the capacity of the segment. Thus, the volume/capacity ratio measure can be assumed to measure capacity sufficiency and delay is a measure of the quality of service. http://dtdapps.coloradodot.info/otis/catalog/TraffOn/VCRatio"
Highways in Colorado,vcratio20,The 20 year projection for the VCRATIO value.
Highways in Colorado,vmt,Traffic volume of the roadway segment multiplied by the length of the roadway segment.
Highways in Colorado,speedlim,The speed limit posted or legally mandated for the greater part of the segment of road.
Highways in Colorado,prisurf,A Domained Value Code (SurfaceType) an indicator of the type of material used in the construction of the roadway driving surface as defined by FWHA. http://dtdapps.coloradodot.info/otis/catalog/CiCoOff/priSurf
Highways in Colorado,thrulnwd,The Average Width of a Single Lane to the nearest foot. http://dtdapps.coloradodot.info/otis/catalog#statewide-tab
Highways in Colorado,thrulnqty,"The prevailing number of lanes carrying through traffic in the in both directions of Traffic, excluding, parking, turning, auxiliary, climbing, acceleration or deceleration lanes. http://dtdapps.coloradodot.info/otis/catalog#statewide-tab"
Highways in Colorado,isdivided,"Value representing if the highway is divided, (Yes or No)"
Highways in Colorado,prioutshd,Type of primary outside shoulder
Highways in Colorado,prioutshdw,"The width, in feet, of the primary inside shoulder width. The orientation is based on the assumption of facing the roadway from the beginning point of the road usually in a west to east or south to north orientation."
Highways in Colorado,median,A Domained Value (median) describing the classification of the type of median on the segment of road separating the travel ways for traffic in opposite directions. http://dtdapps.coloradodot.info/otis/catalog/XsecOn/Median
Highways in Colorado,medianwd,The predominant median width for the Sample section. Required by HPMS for all Sample Panel sections.
Highways in Colorado,terrain,A Domained Value Element (terrain 0-3) used to identify the Predominant type of terrain through which the road segment passes as specified by AASHTO. http://dtdapps.coloradodot.info/otis/catalog/ClassOn/terrain
Highways in Colorado,alias,A common locally used Roadway Name or Otherwise Known as Historical Sir name given to a Segment of Highway.
Highways in Colorado,descriptio,"Description of the beginning of the highway segment, which may be defined by mileposts, road crossings, structures, boundaries, waterways/drainages, etc."
Highways in Colorado,shape_stle,The shape length of the segment in Meters. UTM meters is our typical projection/units.
Highways in Colorado,shape_st_1,"Note: Auto-generated field, units unknown, user should produce area and length measurements as opposed to relying on this field as a source"
Vacancies by Age of Building for Colorado 2016,region,The overall region where vacancies were recorded. Typically Colorado
Vacancies by Age of Building for Colorado 2016,subregion,A more granular metric of region. Typically recorded as a county
Vacancies by Age of Building for Colorado 2016,buildingage,Age of vacant building
Vacancies by Age of Building for Colorado 2016,quarter,Quarter the vacancy was recorded
Vacancies by Age of Building for Colorado 2016,year,Year the vacancy was recorded
Vacancies by Age of Building for Colorado 2016,averagevacancy,Average number of vacancies by year and quarter per subregion
Federal Tax-Exempt Subsection Codes in Colorado,taxexemptcode,Tax exempt code under section 501(c)
Federal Tax-Exempt Subsection Codes in Colorado,description,Description of activities of charity
Federal Tax-Exempt Subsection Codes in Colorado,returnstype,Type of 990 return filed.
Professional and Occupational License Types in Colorado,licensecategory,Board or Program of the license type
Professional and Occupational License Types in Colorado,licensetype,
Professional and Occupational License Types in Colorado,licenseprefix,Type of license or professional certification with the state
Professional and Occupational License Types in Colorado,businessorindividual,Is the license a business license or individual license
Professional and Occupational License Types in Colorado,renewalcycle,The frequency at which a license goes into renewal
Professional and Occupational License Types in Colorado,year,Odd year or even year expiration policy
Professional and Occupational License Types in Colorado,renewalexpirationdate,"Date the license expires with DORA/DPO. Licenses must be renewed prior to the end of the grace period - 60 days after the expiration date. If the license is notrenewed, the license is update to ""Expired"" status."
Directory of Lobbyist Clients in Colorado,lobbyistlastname,Last name of lobbyist
Directory of Lobbyist Clients in Colorado,lobbyistfirstname,First name of lobbyist
Directory of Lobbyist Clients in Colorado,lobbyistaddress1,First line of lobbyist address
Directory of Lobbyist Clients in Colorado,lobbyistaddress2,Second line of lobbyist address
Directory of Lobbyist Clients in Colorado,lobbyistcity,City of lobbyist address
Directory of Lobbyist Clients in Colorado,lobbyiststate,State of lobbyist address
Directory of Lobbyist Clients in Colorado,lobbyistzip,Zipcode of lobbyist address
Directory of Lobbyist Clients in Colorado,primarylobbyistid,Unique ID for lobbyist
Directory of Lobbyist Clients in Colorado,annuallobbyistregistrationid,Unique ID for lobbyist registration. Renewed annually
Directory of Lobbyist Clients in Colorado,clientname,Name of associate client entity
Directory of Lobbyist Clients in Colorado,clientaddress1,First line of associated client address
Directory of Lobbyist Clients in Colorado,clientaddress2,Second line of associated client address
Directory of Lobbyist Clients in Colorado,clientcity,City of associated client address
Directory of Lobbyist Clients in Colorado,clientstate,State of associated client address
Directory of Lobbyist Clients in Colorado,clientzip,Zipcode of associated client address
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",entityid,Entity Id
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",registranttypeabbr,Registrant Type
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",name,"Charitable Organization, Paid Solicitor or Professional Fundraising Consultant name"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",fein,Federal Employer Identification Number
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",filingtype,"Filing type: Master, Amendment, Renewal, Extension, Fiscal Year Change, Estimate Extension"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",documentid,Accounting ID (Registration Number)
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",amendmententityid,"If filing type is Amendment, then Entity ID of master or renewal record"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",externalfilingfromnccs,"If record is an external filing from NCCS or the IRS, then ‘Y’ else ‘N’"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",externalfilingtype,External filing type: either IRS or NCCS
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",actualfinancialsprovided,If actual financials are provided then ‘Y’ else ‘N’
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",principaladdress,Principal address
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",principalcity,Principal city
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",principalstate,Principal state
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",principalzipcode,Principal zip code
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",principalzipcode4,"If nine digit zip code is given, the full code will be listed here"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",residentialcounty,Residential county
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",mailingaddress,Mailing address
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",mailingcity,Mailing city
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",mailingstate,Mailing state
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",mailingzipcode,Mailing zip code
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",mailingzipcode4,"If nine digit zip code is given, the full code will be listed here"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",phone,Phone (area code + 7 digit number + extension)
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",fax,Fax number
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",website,Website URL
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",authorizedofficername,Official first and last name
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",authorizedofficersigneddate,Date authorized officer approved expense
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",cfoname,"For Charitable Organizations, CFO first and last name"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",cfosigneddate,"For Charitable Organizations, date CFO signed registration"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",registrationapproveddate,Date and time at which registration was approved
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",paymentprocesseddate,Date and time payment was processed
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",nextrenewalregistrationdate,Due date for entity’s next renewal of registration
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",fiscalyearstartdate,Beginning of fiscal year
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",fiscalyearenddate,End of fiscal year
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",incorporated,Incorporated flag
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",incorporationdate,"If organization is incorporated, date of incorporation"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",incorporationstate,"If organization is incorporated, state where incorporation"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",organizationestablisheddate,"If not incorporated, date organization was established"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",organizationestablishedstate,"If not incorporated, state in which organization was established"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",nteecode1,National Taxonomy of Exempt Entities Code Description
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",nteecode2,National Taxonomy of Exempt Entities Code Description
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",nteecode3,National Taxonomy of Exempt Entities Code Description
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",legalentitytype,"Type of organization; i.e. non-profit, limited liability, corporation, local government, etc."
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",taxexemptstatus,"If tax exempt organization, then ‘Y’ else ‘N’"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",taxexemptcode,Tax exempt code - IRS subsection
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",irsexemptiondate,Date of application for exemption or date of letter of determination of exemption
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",taxdeductible,"If donations to organization are tax deductible, then ‘Y’"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",extensionfiled,"If extension was filed, then ‘Y’"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",consolidatedregistrationstatement,Is organization’s registration a consolidated Registration statement (‘Y’ or ’N’)
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",fiscalyearbeginning,Beginning tax year this report covers
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",fiscalyearending,Ending tax year this report covers
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",newcharity,"If organization is providing estimates because charity is new, then ‘Y’"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",outsideprofessionalfundraiserfees,Outside professional fundraisers fees
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",totalcontributionsraisedpreviousyear,Total contributions raised in previous year
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",totalfundraisingexpensespreviousyear,Total fundraising expenses in previous year
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",totalmanagementgeneralexpensespreviousyear,Total management and general expenses in previous year
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",expensesdividedbycontributions,Total fundraising expenses divided by total contributions
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",totalexpensesplusmanagementgeneraldividedbycontributions,(Total fundraising expenses + total management and general expenses) divided by total contributions
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",relatedorganizations,Name of related organization
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",relatedtootherorganization,"If organization is related to any other organization, then ‘Y’"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",relatedorganizationtaxexempt,"If related organization is tax exempt, then ‘Y’"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",solicitednontaxdeductiblegifts,"If organization solicited any non-tax deductible gifts or contributions, then ‘Y’"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",statedgiftnottaxdeductible,"If organization state clearly gifts or contributions were not tax deductible, then ‘Y’"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",revenuefromcontibutions,Revenue from contributions
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",revenuefromgovernment,Revenue from government
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",programservicerevenue,Program service revenue
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",revenuefrominvestments,Revenue from investments
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",revenuefromspecialevents,Revenue from special events and activities
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",revenuefromsales,Revenue from sales
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",revenueother,Other revenue
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",revenuetotal,Total of all revenues
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",expensesfromprogramservices,Expenses from program services
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",expensesfromadministrativeother,Administrative and other general expenses
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",expensesfundraising,Fundraising expenses
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",expensesaffiliates,Payment to affiliates expenses
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",expensesother,Other expenses
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",expensesothercomment,Other expenses comment
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",expensestotal,Total of all expenses
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",endofyearassests,Total end of year assets
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",endofyeartotalliabilities,Total end of year liabilities
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",endofyearassestsminusliabilities,End of year assets minus end of year liabilities
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",unrestrictedassests,Unrestricted assets
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",temporarilyrestrictedassets,Temporarily restricted assets
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",permanentlyrestrictedassets,Permanently restricted assets
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",publicbenefitcorporation,If organization is a pbc or not
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",pbcrecordingmethod,"For PBC organizations, recording method 'accrual', 'cas', or customer input."
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",pbcpromotedbenefit,"For PBC organizations, promoted benefit information"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",pbcissuesstockshares,"For PBC organizations, whether the organization issues stock shares (boolean or null if non-pbc)"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",pbcstocksharesavailable,"For PBC organizations, number of stock shares available"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",pbcbenefitreportsent,"For PBC organizations, whether benefit report was sent to stockholders (y, n, n/a, null if non-pbc)"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",pbcannualbenefitreport,"For PBC organizations, instructions on obtaining the annual benefit report"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",conflictofinterest,"Paid Solicitor Conflict of Interest (boolean, null if not a paid solicitor)"
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",conflictofinterestaffirmation,Paid Solicitor Conflict of Interest affirmation (boolean or null if not a paid solicitor)
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",legalbusinessformation,Legal Business Formation
Highway Traffic Counts in Colorado 2015,endrefpt,A Linear Reference Number or Address Key (to the Thousandth of a Mile) Representing the Ending Point of a roadway Segment. A Unique Landmark Location (not the running measure) or (maybe a one-time true end measure) of a segment along a State Route.
Highway Traffic Counts in Colorado 2015,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.
Highway Traffic Counts in Colorado 2015,refpt,A Linear Reference Number or Address Key (to the Thousandth of a Mile) Representing the Starting Point of a roadway segment. A Unique Landmark Location (not the running measure) or (maybe a one-time true measure) of a roadway segment along a State Route.
Highway Traffic Counts in Colorado 2015,route,"A Unique (3 Number - 1 Letter) Highway Identification Code or Designating for a State Highway, Business Route, U.S. Route or Tolled Facility. Odd numbers typically run North and South and Even numbers typically Run East and West."
Highway Traffic Counts in Colorado 2015,length,The Centerline Segment Length or Segment Distance (in Miles) to the Thousandth of a Mile. Length_ is the distance from one Road Segment to the next Road Segment. Length_ is a dimension or measurement that is carried out 3-decimal places.
Highway Traffic Counts in Colorado 2015,updateyr,The last calendar year in which the data was updated.
Highway Traffic Counts in Colorado 2015,aadt,The annual average daily traffic count for the segment. (Total of all vehicles counted in a year divided by 365 days)
Highway Traffic Counts in Colorado 2015,aadtyr,The calendar year (YYYY) in which the annual average daily traffic count applies for the highway segment.
Highway Traffic Counts in Colorado 2015,countyear,The year the data was recorded
Highway Traffic Counts in Colorado 2015,aadtderiv,A Domained Value Element (AADTDeriv) indicating the Code Associated with the Factoring Method used in calculating the AADT determination Value.
Highway Traffic Counts in Colorado 2015,aadtsingle,The AADT consisting of single unit trucks (vehicles larger than pickup trucks built on a single chassis).
Highway Traffic Counts in Colorado 2015,aadtcomb,The AADT consisting of combination trucks (3 or more axles-single trailer or multiple trailers).
Highway Traffic Counts in Colorado 2015,pktrk,The Peak percent of AADT that is composed of trucks of all types. Calculated by taking the number of trucks divided by the AADT
Highway Traffic Counts in Colorado 2015,offpktrk,The Off-Peak percent of AADT that is composed of trucks of all types.
Highway Traffic Counts in Colorado 2015,yr20factor,A traffic forecasting statistic that gives an estimate of AADT for 20 years in the future.
Highway Traffic Counts in Colorado 2015,dhv,The 30th highest annual hourly traffic volume expressed as a percentage of AADT
Highway Traffic Counts in Colorado 2015,dd,Directional Distribution -The percentage of the design hour value flowing in the peak direction.
Highway Traffic Counts in Colorado 2015,routecapac,The maximum number of vehicles which has a reasonable expectation of passing over a given section of lane or roadway during a given time period under prevailing roadway and traffic conditions per the Highway Capacity Manual.
Highway Traffic Counts in Colorado 2015,edla,Equivalent Daily Load Axle
Highway Traffic Counts in Colorado 2015,vcratio,"The hourly traffic volume divided by the capacity of the segment. Thus, the volume/capacity ratio measure can be assumed to measure capacity sufficiency and delay is a measure of the quality of service."
